INSTRUCTION,CONTEXT,RESPONSE
Explain the IT policy 2024.,"NHPC has created a robust IT & Communication infrastructure to support key business functions and to provide various IT&C services.
IT&C Infrastructure includes Datacentre, Cloud, Network Storage Solution, Servers, switches, routers, firewalls, CCTV surveillance, Security devices, LAN/WAN Network, PC/Laptops, software etc. 
IT&C Services include ERP, e-mail, eOffice, eIoM, Internet, Intranet, SSL-VPN, bulk SMS, Mobile apps, VoIP, Video Conferencing, Web Casting, customized software applications etc. 
The Key business functions supported include all business functions like Finance, HR, Inventory, O&M, ESA, monitoring of construction  projects, MIS reports, e-Office (e-file creation/ movement), e-IoM, etc including CUG (Closed User Group).
This policy is envisaged to address the norms for procurement, issuance, utilization, maintenance, and usable life of IT&C infrastructure and services in NHPC.
This IT Policy has been formulated, based on the prevailing requirements of various users. While framing the policy, the practice at various PSUs and guidelines issued by MeitY, Ministry of Power and other agencies have been referred.","NHPC has created a robust IT & Communication infrastructure to support key business functions and to provide various IT&C services.
IT&C Infrastructure includes Datacentre, Cloud, Network Storage Solution, Servers, switches, routers, firewalls, CCTV surveillance, Security devices, LAN/WAN Network, PC/Laptops, software etc. 
IT&C Services include ERP, e-mail, eOffice, eIoM, Internet, Intranet, SSL-VPN, bulk SMS, Mobile apps, VoIP, Video Conferencing, Web Casting, customized software applications etc. 
The Key business functions supported include all business functions like Finance, HR, Inventory, O&M, ESA, monitoring of construction  projects, MIS reports, e-Office (e-file creation/ movement), e-IoM, etc including CUG (Closed User Group).
This policy is envisaged to address the norms for procurement, issuance, utilization, maintenance, and usable life of IT&C infrastructure and services in NHPC.
This IT Policy has been formulated, based on the prevailing requirements of various users. While framing the policy, the practice at various PSUs and guidelines issued by MeitY, Ministry of Power and other agencies have been referred."
Could you provide comprehensive details regarding the issuance of IT hardware and software?,"NHPC has created a robust IT & Communication infrastructure to support key business functions and to provide various IT&C services.
IT&C Infrastructure includes Datacentre, Cloud, Network Storage Solution, Servers, switches, routers, firewalls, CCTV surveillance, Security devices, LAN/WAN Network, PC/Laptops, software etc. 
IT&C Services include ERP, e-mail, eOffice, eIoM, Internet, Intranet, SSL-VPN, bulk SMS, Mobile apps, VoIP, Video Conferencing, Web Casting, customized software applications etc. 
The Key business functions supported include all business functions like Finance, HR, Inventory, O&M, ESA, monitoring of construction  projects, MIS reports, e-Office (e-file creation/ movement), e-IoM, etc including CUG (Closed User Group).
This policy is envisaged to address the norms for procurement, issuance, utilization, maintenance, and usable life of IT&C infrastructure and services in NHPC.
This IT Policy has been formulated, based on the prevailing requirements of various users. While framing the policy, the practice at various PSUs and guidelines issued by MeitY, Ministry of Power and other agencies have been referred.","NHPC has created a robust IT & Communication infrastructure to support key business functions and to provide various IT&C services.
IT&C Infrastructure includes Datacentre, Cloud, Network Storage Solution, Servers, switches, routers, firewalls, CCTV surveillance, Security devices, LAN/WAN Network, PC/Laptops, software etc. 
IT&C Services include ERP, e-mail, eOffice, eIoM, Internet, Intranet, SSL-VPN, bulk SMS, Mobile apps, VoIP, Video Conferencing, Web Casting, customized software applications etc. 
The Key business functions supported include all business functions like Finance, HR, Inventory, O&M, ESA, monitoring of construction  projects, MIS reports, e-Office (e-file creation/ movement), e-IoM, etc including CUG (Closed User Group).
This policy is envisaged to address the norms for procurement, issuance, utilization, maintenance, and usable life of IT&C infrastructure and services in NHPC.
This IT Policy has been formulated, based on the prevailing requirements of various users. While framing the policy, the practice at various PSUs and guidelines issued by MeitY, Ministry of Power and other agencies have been referred."
I'd like to know all the specifics surrounding the distribution of IT hardware and software. Can you elaborate?,"NHPC has created a robust IT & Communication infrastructure to support key business functions and to provide various IT&C services.
IT&C Infrastructure includes Datacentre, Cloud, Network Storage Solution, Servers, switches, routers, firewalls, CCTV surveillance, Security devices, LAN/WAN Network, PC/Laptops, software etc. 
IT&C Services include ERP, e-mail, eOffice, eIoM, Internet, Intranet, SSL-VPN, bulk SMS, Mobile apps, VoIP, Video Conferencing, Web Casting, customized software applications etc. 
The Key business functions supported include all business functions like Finance, HR, Inventory, O&M, ESA, monitoring of construction  projects, MIS reports, e-Office (e-file creation/ movement), e-IoM, etc including CUG (Closed User Group).
This policy is envisaged to address the norms for procurement, issuance, utilization, maintenance, and usable life of IT&C infrastructure and services in NHPC.
This IT Policy has been formulated, based on the prevailing requirements of various users. While framing the policy, the practice at various PSUs and guidelines issued by MeitY, Ministry of Power and other agencies have been referred.","NHPC has created a robust IT & Communication infrastructure to support key business functions and to provide various IT&C services.
IT&C Infrastructure includes Datacentre, Cloud, Network Storage Solution, Servers, switches, routers, firewalls, CCTV surveillance, Security devices, LAN/WAN Network, PC/Laptops, software etc. 
IT&C Services include ERP, e-mail, eOffice, eIoM, Internet, Intranet, SSL-VPN, bulk SMS, Mobile apps, VoIP, Video Conferencing, Web Casting, customized software applications etc. 
The Key business functions supported include all business functions like Finance, HR, Inventory, O&M, ESA, monitoring of construction  projects, MIS reports, e-Office (e-file creation/ movement), e-IoM, etc including CUG (Closed User Group).
This policy is envisaged to address the norms for procurement, issuance, utilization, maintenance, and usable life of IT&C infrastructure and services in NHPC.
This IT Policy has been formulated, based on the prevailing requirements of various users. While framing the policy, the practice at various PSUs and guidelines issued by MeitY, Ministry of Power and other agencies have been referred."
Can you give me a thorough rundown of how IT hardware and software are issued?,"NHPC has created a robust IT & Communication infrastructure to support key business functions and to provide various IT&C services.
IT&C Infrastructure includes Datacentre, Cloud, Network Storage Solution, Servers, switches, routers, firewalls, CCTV surveillance, Security devices, LAN/WAN Network, PC/Laptops, software etc. 
IT&C Services include ERP, e-mail, eOffice, eIoM, Internet, Intranet, SSL-VPN, bulk SMS, Mobile apps, VoIP, Video Conferencing, Web Casting, customized software applications etc. 
The Key business functions supported include all business functions like Finance, HR, Inventory, O&M, ESA, monitoring of construction  projects, MIS reports, e-Office (e-file creation/ movement), e-IoM, etc including CUG (Closed User Group).
This policy is envisaged to address the norms for procurement, issuance, utilization, maintenance, and usable life of IT&C infrastructure and services in NHPC.
This IT Policy has been formulated, based on the prevailing requirements of various users. While framing the policy, the practice at various PSUs and guidelines issued by MeitY, Ministry of Power and other agencies have been referred.","NHPC has created a robust IT & Communication infrastructure to support key business functions and to provide various IT&C services.
IT&C Infrastructure includes Datacentre, Cloud, Network Storage Solution, Servers, switches, routers, firewalls, CCTV surveillance, Security devices, LAN/WAN Network, PC/Laptops, software etc. 
IT&C Services include ERP, e-mail, eOffice, eIoM, Internet, Intranet, SSL-VPN, bulk SMS, Mobile apps, VoIP, Video Conferencing, Web Casting, customized software applications etc. 
The Key business functions supported include all business functions like Finance, HR, Inventory, O&M, ESA, monitoring of construction  projects, MIS reports, e-Office (e-file creation/ movement), e-IoM, etc including CUG (Closed User Group).
This policy is envisaged to address the norms for procurement, issuance, utilization, maintenance, and usable life of IT&C infrastructure and services in NHPC.
This IT Policy has been formulated, based on the prevailing requirements of various users. While framing the policy, the practice at various PSUs and guidelines issued by MeitY, Ministry of Power and other agencies have been referred."
What are the objectives of the IT policy?,"Creating appropriate IT&C infrastructure in NHPC to support business functions and organizational growth. Developing a policy framework for procurement, issuance, maintenance and usage of IT&C infrastructure in NHPC in a cost effective, environment friendly and sustainable manner. Establishing policies for providing IT&C services with utmost concern for information security and legal provisions.","Creating appropriate IT&C infrastructure in NHPC to support business functions and organizational growth. Developing a policy framework for procurement, issuance, maintenance and usage of IT&C infrastructure in NHPC in a cost effective, environment friendly and sustainable manner. Establishing policies for providing IT&C services with utmost concern for information security and legal provisions."
What are the scope of the IT policy?,"Providing IT&C Infrastructure involving Procurement, Issuance & Maintenance of :
1. IT Hardware, software.
2. Application & System Software.
3. IT Consumables.
4. Hardware for Residential-Office/ workspace of employees etc.

Providing IT&C services such that it remains available 24/7 across NHPC to fulfil functional requirements in a transparent, efficient and documented manner involving:
1. ERP, e-mail, eOffice, eIoM, Internet, Intranet.
2. Video Conferencing, Web Casting, customized software applications.

Development & maintenance of in-house Software.
Defining usable life of IT&C infrastructure depending on criteria like obsolescence, latest technology etc.
To update with the latest technologies, cyber security, preventive action for cybercrime.
Finalizing technical specifications of IT&C infrastructure.","Providing IT&C Infrastructure involving Procurement, Issuance & Maintenance of :
1. IT Hardware, software.
2. Application & System Software.
3. IT Consumables.
4. Hardware for Residential-Office/ workspace of employees etc.

Providing IT&C services such that it remains available 24/7 across NHPC to fulfil functional requirements in a transparent, efficient and documented manner involving:
1. ERP, e-mail, eOffice, eIoM, Internet, Intranet.
2. Video Conferencing, Web Casting, customized software applications.

Development & maintenance of in-house Software.
Defining usable life of IT&C infrastructure depending on criteria like obsolescence, latest technology etc.
To update with the latest technologies, cyber security, preventive action for cybercrime.
Finalizing technical specifications of IT&C infrastructure."
"How to procure IT hardware, software, and services?","For procurement of IT hardware/ software and services, consolidation of requirements shall be carried out at regular intervals by IT&C Division of respective location. 

Procurement shall be done as per standard/ prevailing procurement procedure/ practice of NHPC by Contract/ Procurement Division of the respective locations and as per extant DOP provisions.

Rate contract may be done for procurement of hardware/ software/ consumables/ services from reputed OEMs/ System Integrators (SIs) etc. at Corporate level which could be extended to RO/ Projects/ Power Station/ Units, if any, as per feasibility.

All IT&C assets may preferably be procured under long term support/ warranty from OEM (3 to 5 Years).","For procurement of IT hardware/ software and services, consolidation of requirements shall be carried out at regular intervals by IT&C Division of respective location. 

Procurement shall be done as per standard/ prevailing procurement procedure/ practice of NHPC by Contract/ Procurement Division of the respective locations and as per extant DOP provisions.

Rate contract may be done for procurement of hardware/ software/ consumables/ services from reputed OEMs/ System Integrators (SIs) etc. at Corporate level which could be extended to RO/ Projects/ Power Station/ Units, if any, as per feasibility.

All IT&C assets may preferably be procured under long term support/ warranty from OEM (3 to 5 Years)."
Who can issue IT hardware and software?,"Asset Controlling Authority (ACA) of the location shall issue IT&C assets from local stores to the employees. 

At Corporate Office, IT&C Division is Asset Controlling Authority of IT&C Assets. 

All entries such as cost centre, custodian and employee number etc. of IT&C assets shall be recorded by ACA in ERP Fixed Asset Module. Periodic MIS reports can be generated as required and asset register shall be maintained by ACA.","Asset Controlling Authority (ACA) of the location shall issue IT&C assets from local stores to the employees. 

At Corporate Office, IT&C Division is Asset Controlling Authority of IT&C Assets. 

All entries such as cost centre, custodian and employee number etc. of IT&C assets shall be recorded by ACA in ERP Fixed Asset Module. Periodic MIS reports can be generated as required and asset register shall be maintained by ACA."
Complete information about issuing it hardware and software.,"1. Desktop PC/ All-In-One PC at Corporate Office/ RO/ Projects/ Power Stations/  Units shall be provided as per requirement to following:

• All Executives/ Supervisors/ Draftsman/ JEs/ Secretarial staff. 
• Employees of Workman level (as per functional requirement with the approval of HOD/HOP).

2. In addition to above, Desktop/ All-In-One PC shall also be provided for following purposes:
• Training halls in accordance to the seating strength.
• Additional PCs for departmental trainees.
• Conference halls/ Guest House/ Transit Camp/ Reception/ VVIP Rooms/ Libraries/ Laboratory/ Dispensaries etc. as per actual requirement with approval of ED(IT&C) at C.O. and concerned ED at Projects/ Power Stations/Units and concerned ED for Projects/ Power Stations/Units.

Relaxation, if required, shall be done with proper justification and approval/ consent of concerned ED.

3. In case of transfer/ shifting of an employee from one Division to another Division within the same location:
• Employee may take the PC/ Peripherals along with them to other Division with the recommendation of concerned HOD and approval of ED-IT&C at CO and HOP at Projects/ Power stations.
• In case HOD at CO and HOP at Projects/ Power Stations does not allow employee to take the PC/Peripherals with them to other Division, then Division will intimate the Asset Controlling Authority (ACA) to issue the PC/peripheral in the name of another employee of the division as per clause 5.1.1 of this policy. 
• Only one set of PC/ Peripherals shall be issued to individual employee.

4. In case of transfer of an employee to other location, the PC/ peripherals issued to them shall be surrendered to ACA. 

5. Software shall be issued by ACA to the indenting Division in the name of employee of the Division. In case of transfer of employee, same shall be transferred in the name of another employee of the Division.

# ACA – 1. For Design specific software ACA is D&E Division.
2. For balance, IT&C division at CO/ Projects/ Power Stations/ units etc.","1. Desktop PC/ All-In-One PC at Corporate Office/ RO/ Projects/ Power Stations/  Units shall be provided as per requirement to following:

• All Executives/ Supervisors/ Draftsman/ JEs/ Secretarial staff. 
• Employees of Workman level (as per functional requirement with the approval of HOD/HOP).

2. In addition to above, Desktop/ All-In-One PC shall also be provided for following purposes:
• Training halls in accordance to the seating strength.
• Additional PCs for departmental trainees.
• Conference halls/ Guest House/ Transit Camp/ Reception/ VVIP Rooms/ Libraries/ Laboratory/ Dispensaries etc. as per actual requirement with approval of ED(IT&C) at C.O. and concerned ED at Projects/ Power Stations/Units and concerned ED for Projects/ Power Stations/Units.

Relaxation, if required, shall be done with proper justification and approval/ consent of concerned ED.

3. In case of transfer/ shifting of an employee from one Division to another Division within the same location:
• Employee may take the PC/ Peripherals along with them to other Division with the recommendation of concerned HOD and approval of ED-IT&C at CO and HOP at Projects/ Power stations.
• In case HOD at CO and HOP at Projects/ Power Stations does not allow employee to take the PC/Peripherals with them to other Division, then Division will intimate the Asset Controlling Authority (ACA) to issue the PC/peripheral in the name of another employee of the division as per clause 5.1.1 of this policy. 
• Only one set of PC/ Peripherals shall be issued to individual employee.

4. In case of transfer of an employee to other location, the PC/ peripherals issued to them shall be surrendered to ACA. 

5. Software shall be issued by ACA to the indenting Division in the name of employee of the Division. In case of transfer of employee, same shall be transferred in the name of another employee of the Division.

# ACA – 1. For Design specific software ACA is D&E Division.
2. For balance, IT&C division at CO/ Projects/ Power Stations/ units etc."
How to issue it hardware and software in case of shifting of employee from one division to other?,"In case of transfer/ shifting of an employee from one Division to another Division within the same location:
• Employee may take the PC/ Peripherals along with them to other Division with the recommendation of concerned HOD and approval of ED-IT&C at CO and HOP at Projects/ Power stations.
• In case HOD at CO and HOP at Projects/ Power Stations does not allow employee to take the PC/Peripherals with them to other Division, then Division will intimate the Asset Controlling Authority (ACA) to issue the PC/peripheral in the name of another employee of the division as per clause 5.1.1 of this policy. 
• Only one set of PC/ Peripherals shall be issued to individual employee.","In case of transfer/ shifting of an employee from one Division to another Division within the same location:
• Employee may take the PC/ Peripherals along with them to other Division with the recommendation of concerned HOD and approval of ED-IT&C at CO and HOP at Projects/ Power stations.
• In case HOD at CO and HOP at Projects/ Power Stations does not allow employee to take the PC/Peripherals with them to other Division, then Division will intimate the Asset Controlling Authority (ACA) to issue the PC/peripheral in the name of another employee of the division as per clause 5.1.1 of this policy. 
• Only one set of PC/ Peripherals shall be issued to individual employee."
